MQ_NetStat_Limit_False ACTIVE  *IF *VALUE K22_UNIVERSALEVENT_LOG.Value1Attr *EQ 'NO'
Cheques_MEP_NL ACTIVE  *IF *VALUE V1CHEQUESMEP_MONITORCHEQUESMEP_MON203.QTY *GT 0
Cheques_Desd_Critical ACTIVE  *IF *VALUE V2CHEQUES_DESCOBRECHEQUES_DESDOBRE00.QTY *GT 20 *UNTIL ( *TTL 0:08:00:00 )
TSM_PATH_OFFLINE ACTIVE  *IF *VALUE V2TSM_MONTSM_PATHS00.ONLINE *NE YES
TSM_Failed ACTIVE  *IF *VALUE V2TSM_MONTSM_SCHEDBCKERR00.MSGNO *EQ 2579 *UNTIL ( *TTL 0:10:00:00 )
TSM_DB_CACHEHIT_LOW ACTIVE  *IF *VALUE V2TSM_MONTSM_DB00.CACHE_HIT_PCT *LE 96
TSM_Missed ACTIVE  *IF *VALUE V2TSM_MONTSM_SCHEDBCKERR00.MSGNO *EQ 2578 *UNTIL ( *TTL 0:10:00:00 )
MEcho_Feiserver_FOF_Fail ACTIVE  *IF *VALUE MWAFEISERVER_ECHOMWAFEISERVER_ECHOFOF00.Status *NE OK
TSM_AUDIT_COPY_LOW ACTIVE  *IF *VALUE V2TSM_MONTSM_AUDITSITE00.PCT_COMPLETE *LE 90
TSM_VOL_LOW_PCT_ONSITE ACTIVE  *IF *VALUE V2TSM_MONTSM_CVOLS00.CVPCT_ON_SITE *LE 60
Cheques_Mon_Critical ACTIVE  *IF *VALUE V1CHEQUES_MONITORCHEQUES_MON00.QtyParaDesarquivo *GE 100 *UNTIL ( *TTL 0:08:00:30 )
MDW_IE_SQL_02 ACTIVE  *IF *SCAN SQLERRORDEADLOCKSQLERRORDEADLOCKA03.MESG *EQ 'Input Buf' *UNTIL ( *TTL 1:00:15:00 )
MEcho_Kanalo_FOF_Delay ACTIVE  *IF *VALUE MDWAKANALO_ECHOMDWAKANALO_ECHOFOF00.Status *EQ OK *AND *VALUE MDWAKANALO_ECHOMDWAKANALO_ECHOFOF00.DTTRANS *GE 10000
MEcho_Kanalo_FOF_Fail ACTIVE  *IF *VALUE MDWAKANALO_ECHOMDWAKANALO_ECHOFOF00.Status *NE OK
MEcho_Kanalo_GBL_Delay ACTIVE  *IF *VALUE MDWAKANALO_ECHOMDWAKANALO_ECHOGBL00.Status *EQ OK *AND *VALUE MDWAKANALO_ECHOMDWAKANALO_ECHOGBL00.DTTRANS *GE 10000
MEcho_Feiserver_AML_Delay ACTIVE  *IF *VALUE MWAFEISERVER_ECHOMWAFEISERVER_ECHOAML00.Status *EQ OK *AND *VALUE MWAFEISERVER_ECHOMWAFEISERVER_ECHOAML00.DTTRANS *GE 10000
TSM_DB_LAST_BCK ACTIVE  *IF *VALUE V2TSM_MONTSM_DB00.LSTBCKDB *GT 2
MEcho_Feiserver_AML_Fail ACTIVE  *IF *VALUE MWAFEISERVER_ECHOMWAFEISERVER_ECHOAML00.Status *NE OK
TSM_DRIVE_OFFLINE ACTIVE  *IF *VALUE V2TSM_MONTSM_DRIVES00.ONLINE *NE YES
MEcho_Feiserver_FOF_Delay ACTIVE  *IF *VALUE MWAFEISERVER_ECHOMWAFEISERVER_ECHOFOF00.Status *EQ OK *AND *VALUE MWAFEISERVER_ECHOMWAFEISERVER_ECHOFOF00.DTTRANS *GE 10000
TSM_VOL_LOW_PCT_OFFSITE ACTIVE  *IF *VALUE V2TSM_MONTSM_CVOLS00.CVPCT_OFF_SITE *LE 60
Cheques_Mon_Warn ACTIVE  *IF *VALUE V1CHEQUES_MONITORCHEQUES_MON00.QtyParaDesarquivo *GT 50 *AND *VALUE V1CHEQUES_MONITORCHEQUES_MON00.QtyParaDesarquivo *LT 100 *UNTIL ( *TTL 0:08:00:00 )
MEcho_Kanalo_GBL_Fail ACTIVE  *IF *VALUE MDWAKANALO_ECHOMDWAKANALO_ECHOGBL00.Status *NE OK
UA_SQL_SPDeadLock ACTIVE  *IF *SCAN MSSQLERRDLALERTMSSQLERRDLALERTA00.DLDB *NE zzzz
MEcho_Feiserver_GGR_Delay ACTIVE  *IF *VALUE MWAFEISERVER_ECHOMWAFEISERVER_ECHOGGR00.Status *EQ OK *AND *VALUE MWAFEISERVER_ECHOMWAFEISERVER_ECHOGGR00.DTTRANS *GE 10000
TSM_SCRATCH_LOW ACTIVE  *IF *VALUE V2TSM_MONTSM_TAPESSCRATCH00.TAPES_SCRATCH *LE 1
MEcho_Feiserver_GGR_Fail ACTIVE  *IF *VALUE MWAFEISERVER_ECHOMWAFEISERVER_ECHOGGR00.Status *NE OK
Cheques_Match_Warn ACTIVE  *IF *VALUE V1CHEQUESMEP_MONITORCHEQUESMEP_MON03.QTY *GT 10 *AND *VALUE V1CHEQUESMEP_MONITORCHEQUESMEP_MON03.QTY *LT 20
Cheques_Match_Critical ACTIVE  *IF *VALUE V1CHEQUESMEP_MONITORCHEQUESMEP_MON03.QTY *GE 20
UA_SQL_SPDeadLock2 ACTIVE  *IF *VALUE AMSSQLDLAMSSQLDLA00.DLDB *NE 123
Cheques_Rec_Critical ACTIVE  *IF *VALUE V1CHEQUES_MONITORCHEQUES_REC00.QtyFalhasRecebidaAT *GT 5
UA_SQL_DeadLock ACTIVE  *IF *SCAN SQLERRORDEADLOCKSQLERRORDEADLOCKA03.MESG *EQ 'Input Buf' *UNTIL ( *TTL 1:00:15:00 )
Echo_Feiserver_AML_Fail ACTIVE  *IF *VALUE FEISERVER_ECHOMDWFEISERVER_ECHOAML13.Status *NE OK
MDFTSMMissed_Clients ACTIVE  *IF *VALUE V5MDFTSM_MONITORFAILED_CLIENTS00.MSGNO *EQ 2578 *UNTIL ( *TTL 1:00:00:30 )
Echo_Feiserver_FOF_Fail ACTIVE  *IF *VALUE FEISERVER_ECHOMDWFEISERVER_ECHOFOF13.Status *NE OK *AND *SCAN FEISERVER_ECHOMDWFEISERVER_ECHOFOF13.SvcName *EQ FOF
Echo_Feiserver_GGR_Fail ACTIVE  *IF *VALUE FEISERVER_ECHOMDWFEISERVER_ECHOGGR13.Status *NE OK *AND *SCAN FEISERVER_ECHOMDWFEISERVER_ECHOGGR13.SvcName *EQ GGR
Echo_Kanalo_Fail ACTIVE  *IF *VALUE ECHOMDW_KANALOECHOMDW_KANALO05.Status *NE OK
MDW_IE_SQL_04 ACTIVE  *IF *VALUE MS_SQL_Server_Summary.Total_OS_CPU_Percent *GE 80.00 *AND *VALUE MS_SQL_Server_Summary.Time_Since_Startup *GE 10 *AND *VALUE MS_SQL_Server_Summary.Current_Interval *EQ 10
MDW_IE_SQL_01 ACTIVE  *IF *VALUE MS_SQL_Device_Detail.Device_Free_Space_Percent *LE 5.00 *AND *VALUE MS_SQL_Device_Detail.Database_Name *EQ tempdb *AND ( ( ( *SCAN MS_SQL_Device_Detail.Host_Name *EQ PSRSQLDB2 ) *OR ( *SCAN MS_SQL_Device_Detail.Host_Name *EQ PSRSQLDB4 ) ) )
MDW_TO_MQ_05 ACTIVE  *IF *VALUE Queue_Statistics.Current_Depth *GE 10 *AND *SCAN Queue_Statistics.Queue_Name *NE SYSTEM
MDW_Notification_Service ACTIVE  *IF *VALUE NT_Services.Service_Name *EQ 'Notification Service' *AND *VALUE NT_Services.Current_State *EQ Stopped
NT_Uptime_Limit ACTIVE  *IF *VALUE NT_System.System_Up_Days *GT 60 *UNTIL ( *TTL 1:00:00:00 )
MDW_SV_OB_01 ACTIVE  *IF *VALUE NT_Services.Start_Type *EQ Automatic *AND *VALUE NT_Services.Current_State *EQ Stopped *AND *VALUE NT_Services.Service_Name_U *NE 'SysmonLog' *AND *VALUE NT_Services.Service_Name_U *NE 'VSS' *AND *VALUE NT_Services.Service_Name_U *NE 'swprv' *AND *VALUE NT_Services.Service_Name_U *NE 'sppsvc' *AND *VALUE NT_Services.Service_Name *NE ShellHWDetection *AND *SCAN NT_Services.Service_Name *NE 'clr_opt' *AND *VALUE NT_Services.Service_Name_U *NE 'wuauserv' *AND *VALUE NT_Services.Service_Name_U *NE 'RemoteRegistry'
NT_Log_AD_Mon ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 1308 *AND *VALUE NT_Event_Log.Log_Name *EQ 'Directory Service' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 1308 *AND *VALUE NT_Event_Log.Log_Name *EQ 'Directory Service' *AND *VALUE NT_Event_Log.Source_U *EQ 'Microsoft-Windows-ActiveDirectory_DomainService' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5002 *AND *VALUE NT_Event_Log.Log_Name *EQ 'DFS Replication' *AND *SCAN NT_Event_Log.Description *EQ 'Error: 1726 (The remote procedure call failed' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5008 *AND *VALUE NT_Event_Log.Log_Name *EQ 'DFS Replication' ) ) *UNTIL ( *TTL 0:23:15:00 )
MDW_BD_BTS_01 ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 5410 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5773 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 6912 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 6913 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' ) ) *UNTIL ( *TTL 1:00:00:00 )
MDW_TO_MQ_02 ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 5752 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ 'MQSeries' *UNTIL ( *TTL 1:00:00:00 )
NT_Restart ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 1074 *AND *VALUE NT_Event_Log.Source *EQ USER32 *AND *VALUE NT_Event_Log.Type *EQ Information *UNTIL ( *TTL 1:00:00:00 )
MDW_Job_Fail ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 208 *AND *VALUE NT_Event_Log.Source *EQ SQLSERVERAGENT *AND *VALUE NT_Event_Log.Type *EQ Warning
MDW_IIS_Error ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 1011 *AND *VALUE NT_Event_Log.Source *EQ W3SVC
MDW_BD_WSA_01 ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 10 *AND *VALUE NT_Event_Log.Source *EQ 'Enterprise Library Data Service' *AND *SCAN NT_Event_Log.Description *EQ 'Data connection failed to open: database'
MDW_BDSSO_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 10504 *AND *VALUE NT_Event_Log.Source *EQ ENTSSO ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10505 *AND *VALUE NT_Event_Log.Source *EQ ENTSSO ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10515 *AND *VALUE NT_Event_Log.Source *EQ ENTSSO ) ) *UNTIL ( *TTL 1:00:15:00 )
MDW_BizTalk_CIN ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 5753 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ 'MQS://PSRMQS/MQBPN/CIN.OUT'
MDW_BizTalk_MQ_Error2 ACTIVE  *IF *SCAN NT_Event_Log.Source *EQ 'Microsoft BizTalk Server' *AND *VALUE NT_Event_Log.Event_ID *LE 266 *AND *SCAN NT_Event_Log.Description *EQ '2071' *AND *SCAN NT_Event_Log.Computer *EQ PSRMQS *AND *VALUE NT_Event_Log.Event_ID *GE 256
MDW_BizTalk_Msg_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 5719 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ Pipeline ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5683 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' ) ) *UNTIL ( *TTL 1:00:15:00 )
MDW_MSSQL_LoginFailed ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 17055 *AND *VALUE NT_Event_Log.Source *EQ 'MSSQL$PSRSQLDB4' *AND *SCAN NT_Event_Log.Description *EQ 'Login failed for user' *UNTIL ( *TTL 1:00:15:00 )
MDW_MemLeak_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 10101 *AND *VALUE NT_Event_Log.Source *EQ Pmc *AND ( ( ( *SCAN NT_Event_Log.Description *EQ 'System.OutOfMemoryException' ) *OR ( *SCAN NT_Event_Log.Description *EQ 'Thread was being aborted' ) ) ) ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10101 *AND *VALUE NT_Event_Log.Source *EQ Pmc *AND ( ( ( *SCAN NT_Event_Log.Description *EQ 'Erro Interno: Object' ) *OR ( *SCAN NT_Event_Log.Description *EQ 'Timeout expired' ) ) ) ) )
MDW_Xml_Mem_Low ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 10201 *AND *VALUE NT_Event_Log.Source *EQ Pmc *AND *SCAN NT_Event_Log.Description *EQ 'XML document could not be' *UNTIL ( *TTL 0:01:00:00 )
NT_Cluster_FailOver2 ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 1204 *AND *VALUE NT_Event_Log.Source *EQ ClusSvc *UNTIL ( *TTL 2:00:15:00 )
MDW_IE_WB_01 ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 5754 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ MQSeries *UNTIL ( *TTL 1:00:15:00 )
NT_IBM_Disk_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Log_Name *EQ Application *AND ( ( ( *VALUE NT_Event_Log.Source *EQ 'ServeRAID Manager Agent' *AND *VALUE NT_Event_Log.Type *NE Information ) *OR ( *VALUE NT_Event_Log.Source *EQ 'Storage Agents' *AND *VALUE NT_Event_Log.Type *NE Information ) ) ) ) *OR ( *VALUE NT_Event_Log.Log_Name *EQ System *AND *VALUE NT_Event_Log.Source *EQ 'Storage Agents' *AND *VALUE NT_Event_Log.Type *NE Information ) )
MDW_MQ_Conn_Error ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 9259 *AND *VALUE NT_Event_Log.Source *EQ 'WebSphere MQ' *AND *VALUE NT_Event_Log.Description *EQ 'Connection timed out from host'
NT_Shutdown_Unexpeted ACTIVE  *IF *VALUE NT_Event_Log.Source *EQ EventLog *AND *VALUE NT_Event_Log.Event_ID *EQ 6008
MDW_BEState_Error ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 10501 *AND *VALUE NT_Event_Log.Source *EQ Pmc
MDW_BizTalk_FEI ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 5753 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ 'MQS://PSRMQS/MQBPN/FEI.OUT'
NT_Memory_Miner ACTIVE  *IF *VALUE NT_Memory.Available_kBytes *LE 650000 *AND *SCAN NT_Memory.Server_Name *EQ PSRMNR
MDW_BizTalk_KAN ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 5753 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ 'MQS://PSRMQS/MQBPN/KAN.OUT'
MDW_IE_MQ_01 ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *LE 266 *AND *SCAN NT_Event_Log.Source *EQ 'Microsoft BizTalk Server' *AND *SCAN NT_Event_Log.Description *EQ 'Error encountered as BizTalk' ) *OR ( *VALUE NT_Event_Log.Event_ID *GE 256 *AND *SCAN NT_Event_Log.Source *EQ 'Microsoft BizTalk Server' *AND *SCAN NT_Event_Log.Description *EQ 'Error encountered as BizTalk' ) ) *UNTIL ( *TTL 1:00:15:00 )
MDW_BizTalk_Svc_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 5743 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ 'The adapter failed to transmit' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10034 *AND *VALUE NT_Event_Log.Source *EQ 'XLANG/s' *AND *SCAN NT_Event_Log.Description *EQ SerializationException ) ) *UNTIL ( *TTL 1:00:15:00 )
MDW_Biztalk_MQ_Error3 ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 1069 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 256 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 260 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 262 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 264 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5754 *AND *VALUE NT_Event_Log.Source *EQ MQSeries ) )
MDW_CR_BTS_01 ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 5719 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND *SCAN NT_Event_Log.Description *EQ Pipeline ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5683 *AND *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' ) ) *UNTIL ( *TTL 1:00:00:00 )
NT_Cluster_FailOver ACTIVE  *IF *VALUE NT_Event_Log.Source *EQ ClusSvc *AND *VALUE NT_Event_Log.Event_ID *EQ 1069 *UNTIL ( *TTL 2:00:15:00 )
MDW_Fmc_BD_Timeout ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 10201 *AND *VALUE NT_Event_Log.Log_Name *EQ 'Pmc.Monitoring' *AND *SCAN NT_Event_Log.Description *EQ 'Timeout expired'
MDW_IDService_Unavailable ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 10200 *AND *SCAN NT_Event_Log.Description *EQ 'Service Unavailable' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10201 *AND *SCAN NT_Event_Log.Description *EQ 'Service Unavailable' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10301 *AND *SCAN NT_Event_Log.Description *EQ 'Service Unavailable' ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 10101 *AND *SCAN NT_Event_Log.Description *EQ 'Service Unavailable' ) )
NT_PNP_Error ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 12 *AND *VALUE NT_Event_Log.Source *EQ PlugPlayManager *AND *VALUE NT_Event_Log.Log_Name *EQ System
NT_DC_DFS_Replication_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 2213 *AND ( ( ( *VALUE NT_Event_Log.Log_Name *EQ 'DFS Replication' *AND *VALUE NT_Event_Log.Source *EQ DFSR ) *OR ( *VALUE NT_Event_Log.Log_Name *EQ 'DFS/File Replication Service' *AND *VALUE NT_Event_Log.Source *EQ DFSR ) ) ) ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 4012 *AND ( ( ( *VALUE NT_Event_Log.Log_Name *EQ 'DFS Replication' *AND *VALUE NT_Event_Log.Source *EQ DFSR ) *OR ( *VALUE NT_Event_Log.Log_Name *EQ 'DFS/File Replication Service' *AND *VALUE NT_Event_Log.Source *EQ DFSR ) ) ) ) ) *UNTIL ( *TTL 1:00:15:00 )
NT_Disk_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Event_ID *EQ 11 *AND ( ( ( *VALUE NT_Event_Log.Source *EQ Disk ) *OR ( *VALUE NT_Event_Log.Source *EQ arcsas ) ) ) ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 153 *AND *VALUE NT_Event_Log.Source *EQ disk ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 157 *AND *VALUE NT_Event_Log.Source *EQ disk ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 24597 *AND *VALUE NT_Event_Log.Source *EQ Cissesrv ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 57 *AND *VALUE NT_Event_Log.Source *EQ Ftdisk ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 7 *AND *VALUE NT_Event_Log.Source *EQ Disk ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 9 *AND *VALUE NT_Event_Log.Source *EQ adpu160m ) ) *UNTIL ( *TTL 0:23:00:00 )
MDW_IE_IIS_01 ACTIVE  *IF *VALUE NT_Event_Log.Event_ID *EQ 1011 *AND *VALUE NT_Event_Log.Source *EQ W3SVC *UNTIL ( *TTL 1:00:15:00 )
MDW_BizTalk_MQ_Error ACTIVE  *IF ( ( *VALUE NT_Event_Log.Source *EQ 'BizTalk Server 2004' *AND ( ( ( *VALUE NT_Event_Log.Event_ID *EQ 5740 *AND *SCAN NT_Event_Log.Description *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5752 *AND *SCAN NT_Event_Log.Description *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5753 *AND *SCAN NT_Event_Log.Description *EQ MQSeries ) *OR ( *VALUE NT_Event_Log.Event_ID *EQ 5754 *AND *SCAN NT_Event_Log.Description *EQ MQSeries ) ) ) ) *OR ( *SCAN NT_Event_Log.Source *EQ 'Microsoft BizTalk Server' *AND ( ( ( *VALUE NT_Event_Log.Event_ID *LE 266 *AND *SCAN NT_Event_Log.Description *EQ 'Error encountered as BizTalk' ) *OR ( *VALUE NT_Event_Log.Event_ID *GE 256 *AND *SCAN NT_Event_Log.Description *EQ 'Error encountered as BizTalk' ) ) ) ) ) *UNTIL ( *TTL 1:00:00:00 )
